지점,일시,기온(°C),강수량(mm)
gosan,2019-09-01,23.916666666666668,0.0
gosan,2019-09-02,23.7,12.1
gosan,2019-09-03,23.549999999999997,1.9
gosan,2019-09-04,23.53333333333333,12.84
gosan,2019-09-05,26.033333333333335,0.0
gosan,2019-09-06,27.066666666666666,
gosan,2019-09-07,25.133333333333336,0.0
gosan,2019-09-08,24.383333333333336,0.2
gosan,2019-09-09,26.666666666666668,4.750000000000001
gosan,2019-09-10,26.183333333333334,
gosan,2019-09-11,25.95,0.6
gosan,2019-09-12,25.483333333333334,
gosan,2019-09-13,23.75,
gosan,2019-09-14,23.566666666666666,
gosan,2019-09-15,23.900000000000002,
gosan,2019-09-16,23.8,
gosan,2019-09-17,23.866666666666664,
gosan,2019-09-18,22.683333333333334,
gosan,2019-09-19,22.716666666666665,
gosan,2019-09-20,22.21666666666667,
gosan,2019-09-21,20.216666666666665,1.44
gosan,2019-09-22,20.016666666666666,0.72
gosan,2019-09-23,20.48333333333333,
gosan,2019-09-24,20.533333333333335,
gosan,2019-09-25,21.46666666666667,
gosan,2019-09-26,22.266666666666666,
gosan,2019-09-27,24.416666666666668,
gosan,2019-09-28,24.46666666666667,
gosan,2019-09-29,23.766666666666666,
gosan,2019-09-30,23.866666666666664,
gosan,2019-10-01,23.883333333333336,0.30000000000000004
gosan,2019-10-02,25.099999999999998,5.550000000000001
gosan,2019-10-03,23.13333333333333,0.07500000000000001
gosan,2019-10-04,23.233333333333334,
gosan,2019-10-05,21.666666666666668,
gosan,2019-10-06,20.400000000000002,
gosan,2019-10-07,22.516666666666666,0.0
gosan,2019-10-08,19.86666666666667,
gosan,2019-10-09,17.166666666666668,
gosan,2019-10-10,19.583333333333332,
gosan,2019-10-11,20.566666666666666,
gosan,2019-10-12,21.216666666666665,
gosan,2019-10-13,19.666666666666668,
gosan,2019-10-14,19.466666666666665,
gosan,2019-10-15,16.633333333333336,
gosan,2019-10-16,18.46666666666667,
jeju,2019-09-01,24.650000000000002,0.0
jeju,2019-09-02,22.8,4.74
jeju,2019-09-03,24.03333333333333,3.1
jeju,2019-09-04,24.383333333333336,6.9799999999999995
jeju,2019-09-05,26.11666666666667,0.1
jeju,2019-09-06,27.533333333333335,0.0
jeju,2019-09-07,27.983333333333334,0.04
jeju,2019-09-08,25.133333333333336,0.0
jeju,2019-09-09,26.666666666666668,1.116666666666667
jeju,2019-09-10,26.583333333333332,
jeju,2019-09-11,25.26666666666667,1.25
jeju,2019-09-12,24.28333333333333,0.19999999999999998
jeju,2019-09-13,23.51666666666667,
jeju,2019-09-14,23.983333333333334,
jeju,2019-09-15,24.583333333333332,
jeju,2019-09-16,24.566666666666666,
jeju,2019-09-17,23.833333333333332,
jeju,2019-09-18,23.383333333333336,
jeju,2019-09-19,22.849999999999998,
jeju,2019-09-20,22.099999999999998,
jeju,2019-09-21,20.400000000000002,1.75
jeju,2019-09-22,20.25,7.766666666666667
jeju,2019-09-23,20.7,
jeju,2019-09-24,20.333333333333332,
jeju,2019-09-25,21.183333333333334,
jeju,2019-09-26,22.883333333333336,0.2
jeju,2019-09-27,24.233333333333334,
jeju,2019-09-28,24.066666666666663,
jeju,2019-09-29,23.983333333333334,0.0
jeju,2019-09-30,23.866666666666664,
jeju,2019-10-01,24.76666666666667,0.3666666666666667
jeju,2019-10-02,24.716666666666665,11.216666666666669
jeju,2019-10-03,22.899999999999995,0.05
jeju,2019-10-04,23.350000000000005,
jeju,2019-10-05,21.950000000000003,
jeju,2019-10-06,20.549999999999997,0.25
jeju,2019-10-07,22.516666666666666,
jeju,2019-10-08,20.466666666666665,
jeju,2019-10-09,17.45,
jeju,2019-10-10,18.2,
jeju,2019-10-11,20.416666666666668,
jeju,2019-10-12,21.316666666666666,
jeju,2019-10-13,19.366666666666667,
jeju,2019-10-14,19.783333333333335,
jeju,2019-10-15,16.900000000000002,
jeju,2019-10-16,17.98333333333333,
po,2019-09-01,23.78333333333333,0.0
po,2019-09-02,24.966666666666665,1.38
po,2019-09-03,24.866666666666664,2.8
po,2019-09-04,24.349999999999998,4.42
po,2019-09-05,25.41666666666666,1.0799999999999998
po,2019-09-06,26.549999999999997,0.25
po,2019-09-07,25.183333333333334,0.20000000000000004
po,2019-09-08,24.5,0.13333333333333333
po,2019-09-09,26.600000000000005,1.725
po,2019-09-10,26.116666666666664,
po,2019-09-11,27.33333333333333,
po,2019-09-12,25.100000000000005,
po,2019-09-13,24.03333333333333,
po,2019-09-14,25.083333333333332,
po,2019-09-15,25.25,
po,2019-09-16,24.733333333333334,
po,2019-09-17,23.400000000000002,
po,2019-09-18,23.483333333333334,
po,2019-09-19,23.700000000000003,
po,2019-09-20,22.633333333333336,
po,2019-09-21,20.216666666666665,1.075
po,2019-09-22,20.883333333333333,5.1000000000000005
po,2019-09-23,20.816666666666666,0.1
po,2019-09-24,20.666666666666668,
po,2019-09-25,22.11666666666667,
po,2019-09-26,23.899999999999995,0.1
po,2019-09-27,25.2,
po,2019-09-28,24.96666666666667,
po,2019-09-29,25.0,
po,2019-09-30,24.2,
po,2019-10-01,24.683333333333334,0.02
po,2019-10-02,24.766666666666666,9.816666666666668
po,2019-10-03,24.03333333333333,
po,2019-10-04,23.0,
po,2019-10-05,22.05,
po,2019-10-06,21.7,0.06666666666666667
po,2019-10-07,22.416666666666668,0.0
po,2019-10-08,20.883333333333336,
po,2019-10-09,18.5,
po,2019-10-10,17.900000000000002,
po,2019-10-11,20.966666666666665,
po,2019-10-12,21.7,
po,2019-10-13,19.083333333333336,
po,2019-10-14,18.883333333333333,
po,2019-10-15,19.183333333333334,
po,2019-10-16,18.299999999999997,
seongsan,2019-09-01,23.53333333333333,
seongsan,2019-09-02,24.566666666666666,2.0
seongsan,2019-09-03,24.533333333333335,4.6
seongsan,2019-09-04,25.400000000000002,3.0
seongsan,2019-09-05,25.766666666666666,0.5666666666666667
seongsan,2019-09-06,27.183333333333334,
seongsan,2019-09-07,26.53333333333333,0.05
seongsan,2019-09-08,24.083333333333332,0.1
seongsan,2019-09-09,27.149999999999995,0.13333333333333333
seongsan,2019-09-10,26.566666666666663,
seongsan,2019-09-11,27.3,
seongsan,2019-09-12,24.900000000000002,
seongsan,2019-09-13,23.933333333333337,
seongsan,2019-09-14,23.583333333333332,
seongsan,2019-09-15,25.150000000000002,
seongsan,2019-09-16,24.583333333333332,
seongsan,2019-09-17,23.583333333333332,
seongsan,2019-09-18,23.166666666666668,
seongsan,2019-09-19,23.616666666666664,
seongsan,2019-09-20,23.350000000000005,
seongsan,2019-09-21,21.033333333333335,0.9166666666666666
seongsan,2019-09-22,21.266666666666666,5.349999999999999
seongsan,2019-09-23,19.833333333333332,0.0
seongsan,2019-09-24,19.900000000000002,
seongsan,2019-09-25,21.400000000000002,
seongsan,2019-09-26,24.266666666666666,0.0
seongsan,2019-09-27,24.200000000000003,0.25
seongsan,2019-09-28,25.5,
seongsan,2019-09-29,24.5,
seongsan,2019-09-30,24.033333333333335,
seongsan,2019-10-01,25.166666666666668,
seongsan,2019-10-02,25.316666666666663,11.680000000000001
seongsan,2019-10-03,23.549999999999997,
seongsan,2019-10-04,23.53333333333333,
seongsan,2019-10-05,21.733333333333334,
seongsan,2019-10-06,21.333333333333332,0.05
seongsan,2019-10-07,23.516666666666666,
seongsan,2019-10-08,18.96666666666667,
seongsan,2019-10-09,17.016666666666666,
seongsan,2019-10-10,17.983333333333334,
seongsan,2019-10-11,20.51666666666667,
seongsan,2019-10-12,21.3,
seongsan,2019-10-13,19.3,
seongsan,2019-10-14,18.583333333333332,
seongsan,2019-10-15,16.21666666666667,2.9
seongsan,2019-10-16,18.88333333333333,
